date_found,company,title,location,url,source,posted_at,active,match_score
2026-08-28,Mastermind Network,Business Analyst,"Bangalore, Karnataka",https://www.adzuna.in/details/5859121332,adzuna,2026-08-28,yes,
2026-08-28,GEDU Global Education,Project Coordinator,"Noida, Ghaziabad",https://www.adzuna.in/details/5827922428,adzuna,2026-08-04,yes,
2026-08-28,DeArc Studio - Luxury Home Interiors in Bengaluru,Interior Estimation & Project Coordinator,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5859570088,adzuna,2026-08-28,yes,
2026-08-28,Clearwater Analytics,Implementations Project Manager,"Noida, Ghaziabad",https://www.adzuna.in/details/5833603029,adzuna,2026-08-08,yes,
2026-08-28,Claight Corporation Expert Market Research,Senior Business Analyst,"Noida, Ghaziabad",https://www.adzuna.in/details/5859124128,adzuna,2026-08-28,yes,
2026-08-28,Aristocrat,Project Coordinator,"Noida, Ghaziabad",https://www.adzuna.in/land/ad/5857982588,adzuna,2026-08-27,yes,
2026-08-28,Andor Tech,Technical Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5858623134,adzuna,2026-08-28,yes,
2026-08-28,AgileEngine,Senior Business Analyst ID85838,"Noida, Ghaziabad",https://www.adzuna.in/details/5858708941,adzuna,2026-08-28,yes,
2026-08-28,AgileEngine,Senior Business Analyst ID85838,"Sansad Marg, New Delhi",https://www.adzuna.in/details/5858708996,adzuna,2026-08-28,yes,
2026-08-27,appscrip,Project Coordinator – Intern / Fresher,"Bangalore, Karnataka",https://www.adzuna.in/details/5856683860,adzuna,2026-08-26,yes,
2026-08-27,Zenoti,Senior Customer Success Manager,"Hyderabad, Telangana, India",https://job-boards.greenhouse.io/zenoti/jobs/7977887003,greenhouse,2026-08-27,yes,
2026-08-27,Zenoti,Senior Product Specialist - Onboarding/Implementation(SaaS),"Hyderabad, Telangana, India",https://job-boards.greenhouse.io/zenoti/jobs/7530771003,greenhouse,2026-08-26,yes,
2026-08-27,Zenoti,Senior Product Specialist (SaaS Implementation and Onboarding),"Hyderabad, Telangana, India",https://job-boards.greenhouse.io/zenoti/jobs/7178178003,greenhouse,2026-08-26,yes,
2026-08-27,WSP,Senior Consultant - Business Analyst,"Noida, Ghaziabad",https://www.adzuna.in/details/5815846895,adzuna,2026-07-26,yes,
2026-08-27,WIN Home Inspection,Project Manager,"Noida, Ghaziabad",https://www.adzuna.in/details/5838453328,adzuna,2026-08-12,yes,
2026-08-27,VM HR Solutions,Archviz Project Coordinator - Remote,"Delhi, India",https://www.adzuna.in/land/ad/5858113467,adzuna,2026-08-27,yes,
2026-08-27,UNO Digital Bank,Senior Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5858113161,adzuna,2026-08-27,yes,
2026-08-27,TÜV SÜD,Creative Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5857169866,adzuna,2026-08-26,yes,
2026-08-27,Tsaaro,Project Management Office (PMO),"Noida, Ghaziabad",https://www.adzuna.in/details/5857006298,adzuna,2026-08-26,yes,
2026-08-27,Tripgain Travel & Expense Management Solutions Private Limited,Implementation Specialist,"Delhi, India",https://www.adzuna.in/details/5831396044,adzuna,2026-08-07,yes,
2026-08-27,Trigyn,Project Manager/ Program Manager,"Delhi, India",https://www.adzuna.in/details/5843844709,adzuna,2026-08-16,yes,
2026-08-27,Trigent Software Private Limited,Business Analyst II,"Noida, Ghaziabad",https://www.adzuna.in/details/5854531013,adzuna,2026-08-24,yes,
2026-08-27,Trelleborg Group,Manufacturing Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5858113914,adzuna,2026-08-27,yes,
2026-08-27,Trantor,Customer Success Engineer,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5851314093,adzuna,2026-08-21,yes,
2026-08-27,TransPerfect,Senior HRIS Payroll Specialist - Implementation | Bangalore,"Bangalore, Karnataka",https://www.adzuna.in/details/5832819840,adzuna,2026-08-08,yes,
2026-08-27,Trangile Services,Project Manager,"Noida, Ghaziabad",https://www.adzuna.in/land/ad/5856361566,adzuna,2026-08-26,yes,
2026-08-27,Thomson Reuters,implementation Specialist,"Bangalore, Karnataka",https://www.adzuna.in/details/5856951406,adzuna,2026-08-26,yes,
2026-08-27,Test Unity,Project manager coordinator,"Bangalore, Karnataka",https://www.adzuna.in/details/5823130036,adzuna,2026-08-01,yes,
2026-08-27,Scadea Software Solutions,Senior Project Manager (10 years only),"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5827736033,adzuna,2026-08-04,yes,
2026-08-27,Quess Corp Limited,Client Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5850982902,adzuna,2026-08-21,yes,
2026-08-27,Quality Council of India,Senior Project Manager,"New Delhi, Delhi",https://www.adzuna.in/land/ad/5858113925,adzuna,2026-08-27,yes,
2026-08-27,Promaynov Advisory Services Pvt. Ltd,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5853619751,adzuna,2026-08-23,yes,
2026-08-27,Prodigy Health AI,Project Management Office,"New Delhi, Delhi",https://www.adzuna.in/land/ad/5857213471,adzuna,2026-08-26,yes,
2026-08-27,Pipecare Group,Project Manager,"Noida, Ghaziabad",https://www.adzuna.in/details/5818081155,adzuna,2026-07-28,yes,
2026-08-27,Pearson,"Specialist, Project Manager","Noida, Ghaziabad",https://www.adzuna.in/details/5841927111,adzuna,2026-08-14,yes,
2026-08-27,Paytm,Business Analyst,"Noida, Ghaziabad",https://www.adzuna.in/details/5788472401,adzuna,2026-07-05,yes,
2026-08-27,OneTrust,Project Coordinator,"Bangalore, Karnataka",https://www.adzuna.in/details/5833603517,adzuna,2026-08-08,yes,
2026-08-27,Observe.AI,Customer Success Manager,Bengaluru ,https://www.observe.ai/position?gh_jid=5306216008,greenhouse,2026-08-26,yes,
2026-08-27,Norwin Technologies,Technical Project Manager / Delivery Lead,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5851313327,adzuna,2026-08-21,yes,
2026-08-27,NexSAP Solutions,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5858113453,adzuna,2026-08-27,yes,
2026-08-27,"NTT America, Inc.",Digital Solution Consultant Lead Consultant,"Delhi, India",https://www.adzuna.in/details/5820792894,adzuna,2026-07-30,yes,
2026-08-27,"NTT America, Inc.",ServiceNow - Associate Business Analyst Junior,"Delhi, India",https://www.adzuna.in/details/5837803282,adzuna,2026-08-12,yes,
2026-08-27,Masai,Business Analyst,"Bangalore, Karnataka",https://www.adzuna.in/details/5847641034,adzuna,2026-08-19,yes,
2026-08-27,Marlabs,Business Analyst,"Bangalore, Karnataka",https://www.adzuna.in/details/5796410661,adzuna,2026-07-11,yes,
2026-08-27,Livspace,Interior Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5849577275,adzuna,2026-08-20,yes,
2026-08-27,Labcorp,Clinical Project Coordinator II,"Bangalore, Karnataka",https://www.adzuna.in/details/5857957041,adzuna,2026-08-27,yes,
2026-08-27,Jellyfish Technologies,Project Coordinator,"Noida, Ghaziabad",https://www.adzuna.in/land/ad/5858113528,adzuna,2026-08-27,yes,
2026-08-27,Integrated Wireless Solutions,Project Manager (Telecom),"Noida, Ghaziabad",https://www.adzuna.in/land/ad/5857169257,adzuna,2026-08-26,yes,
2026-08-27,Inspira Enterprise India,Project Manager,"Delhi, India",https://www.adzuna.in/details/5849139392,adzuna,2026-08-20,yes,
2026-08-27,Homzinterio,Interior Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5858113552,adzuna,2026-08-27,yes,
2026-08-27,HealthMinds Consulting Pvt. Ltd,Medical Writer / Project Manager (Chinese Language Specialist),"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5857168458,adzuna,2026-08-26,yes,
2026-08-27,Happiest Resume,Business Analyst,"New Delhi, Delhi",https://www.adzuna.in/details/5828880832,adzuna,2026-08-05,yes,
2026-08-27,Happiest Resume,Business Analyst,"New Delhi, Delhi",https://www.adzuna.in/details/5828880477,adzuna,2026-08-05,yes,
2026-08-27,Gresham,Implementation Consulting Specialist,"Bangalore, Karnataka",https://www.adzuna.in/details/5741469998,adzuna,2026-05-27,yes,
2026-08-27,Godrej Boyce,Project Manager | Central Vista,"Delhi, India",https://www.adzuna.in/details/5857744066,adzuna,2026-08-27,yes,
